"anio","region","cod_prov","provincia","cod_cant_d","canton","valor_agregado","impuestos","pib","exportaciones","importaciones","cod_cant"
2020,"Central","2","Alajuela",201,"Alajuela",3422966.39789555,307203.360326123,3730169.75822167,2590036.18196067,1735586.3464984,"01"
2020,"Central","2","Alajuela",202,"San Ramón",383523.05234286,23114.9268533307,406637.97919619,19907.1112333784,25044.795784396,"02"
2020,"Central","2","Alajuela",203,"Grecia",373785.712830872,51144.0663858768,424929.779216748,98425.9103569443,69341.1977368444,"03"
2020,"Pacífico Central","2","Alajuela",204,"San Mateo",22231.0291127822,1098.14493894283,23329.174051725,102.8157036578,248.535128986133,"04"
2020,"Central","2","Alajuela",205,"Atenas",119861.574611886,7060.8396388198,126922.414250705,1397.18798724582,4389.28616105997,"05"
2020,"Central","2","Alajuela",206,"Naranjo",155708.401886683,16293.4826788858,172001.884565569,3478.15121196625,17983.5526105422,"06"
2020,"Central","2","Alajuela",207,"Palmares",159530.742075246,14902.6484134907,174433.390488737,14292.6782076746,33906.5755611186,"07"
2020,"Central","2","Alajuela",208,"Poás",131233.358093828,8433.60021388116,139666.95830771,3057.03327252391,4572.07908632345,"08"
2020,"Pacífico Central","2","Alajuela",209,"Orotina",84466.3346674348,5460.37879399772,89926.7134614326,1082.66357226959,597.735895302019,"09"
2020,"Huetar Norte","2","Alajuela",210,"San Carlos",910566.774329297,58153.9698965673,968720.744225864,263637.460964914,54816.6690463682,"10"
2020,"Central","2","Alajuela",211,"Zarcero",94683.7274901139,5601.36496126331,100285.092451377,803.408870617799,1273.63328757189,"11"
2020,"Central","2","Alajuela",212,"Sarchí",83356.7262879514,5000.47475036802,88357.2010383194,11588.5218210982,2653.76117590468,"12"
2020,"Huetar Norte","2","Alajuela",213,"Upala",161091.869239935,5038.90780768467,166130.77704762,20671.9784600534,196.660655205376,"13"
2020,"Huetar Norte","2","Alajuela",214,"Los Chiles",106064.1056021,2059.93848210699,108124.044084206,9507.54665676673,508.310110982189,"14"
2020,"Huetar Norte","2","Alajuela",215,"Guatuso",58392.8315731736,1991.41269589084,60384.2442690644,135.119481713774,1611.62546678096,"15"
2020,"Huetar Norte","2","Alajuela",216,"Río Cuarto",45639.4896918644,1292.50481198551,46931.9945038499,7557.84845362739,9514.11055000811,"16"
2020,"Central","3","Cartago",301,"Cartago",1187050.23619221,162123.827839259,1349174.06403147,644143.124580265,475649.72052051,"01"
2020,"Central","3","Cartago",302,"Paraíso",257023.396870108,23581.8705893332,280605.267459441,31516.7086149405,8412.45220623635,"02"
2020,"Central","3","Cartago",303,"La Unión",564967.577268021,61041.1851473763,626008.762415397,42786.4998411665,56805.4371622858,"03"
2020,"Central","3","Cartago",304,"Jiménez",91098.5868317955,5553.92448499625,96652.5113167918,1262.28818724952,1044.04455669296,"04"
2020,"Central","3","Cartago",305,"Turrialba",293468.733939893,20652.2874907624,314121.021430655,17051.8640971606,5275.45205498732,"05"
2020,"Central","3","Cartago",306,"Alvarado",66441.5003964117,3158.406287639,69599.9066840507,13.6157668506156,1202.72900367102,"06"
2020,"Central","3","Cartago",307,"Oreamuno",125320.711322926,7554.19833121098,132874.909654137,8345.80857308618,8358.83730859616,"07"
2020,"Central","3","Cartago",308,"El Guarco",206556.805882565,10705.5572855756,217262.36316814,33160.7264629387,19870.4496217275,"08"
2020,"Central","4","Heredia",401,"Heredia",1949128.1788386,123725.845411673,2072854.02425028,600099.386439425,534555.338822495,"01"
2020,"Central","4","Heredia",402,"Barva",176174.831185338,7949.18756193094,184124.018747269,6813.87166351211,13238.7860925748,"02"
2020,"Central","4","Heredia",403,"Santo Domingo",354365.423296332,29142.5293057086,383507.952602041,12905.6625889646,42354.7952738662,"03"
2020,"Central","4","Heredia",404,"Santa Bárbara",120255.343249929,6361.00266421342,126616.345914142,3502.39732530672,9999.74935160596,"04"
2020,"Central","4","Heredia",405,"San Rafael",169838.80188469,8365.60226570815,178204.404150398,372.102009930224,8552.83644099402,"05"
2020,"Central","4","Heredia",406,"San Isidro",112021.896520437,3620.02055732695,115641.917077764,469.640180262748,2970.29168704827,"06"
2020,"Central","4","Heredia",407,"Belén",1006307.1359522,61065.7478214158,1067372.88377362,4794.96931547175,28850.6959542009,"07"
2020,"Central","4","Heredia",408,"Flores",197077.039472647,15847.4027460185,212924.442218665,2247.08180254584,9838.36450209438,"08"
2020,"Central","4","Heredia",409,"San Pablo",149538.096345446,10058.8943921984,159596.990737645,32.8126982145138,2732.23659342563,"09"
2020,"Huetar Norte","4","Heredia",410,"Sarapiquí",281389.68169472,13237.7336343453,294627.415329065,140910.025016171,7568.63476843503,"10"
2020,"Chorotega","5","Guanacaste",501,"Liberia",644171.619613896,45366.0141693833,689537.633783279,7906.91256206886,26841.8884909922,"01"
2020,"Chorotega","5","Guanacaste",502,"Nicoya",200942.228258887,8816.73378205641,209758.962040943,11497.1316606085,3114.96063112506,"02"
2020,"Chorotega","5","Guanacaste",503,"Santa Cruz",291724.463024146,14031.2278389416,305755.690863088,608.361983128402,3366.13283057537,"03"
2020,"Chorotega","5","Guanacaste",504,"Bagaces",169284.988940897,10431.2508019495,179716.239742846,363.703336602016,4024.74683409393,"04"
2020,"Chorotega","5","Guanacaste",505,"Carrillo",192565.009584463,11444.0580348514,204009.067619315,9158.89219992658,5513.91383974004,"05"
2020,"Chorotega","5","Guanacaste",506,"Cañas",151353.280358945,7346.91823971342,158700.198598658,24469.0539483503,9098.30878849746,"06"
2020,"Chorotega","5","Guanacaste",507,"Abangares",87861.4136308882,10049.0507358283,97910.4643667165,10400.1074788273,7905.72621987297,"07"
2020,"Chorotega","5","Guanacaste",508,"Tilarán",156943.422866118,9738.62135760476,166682.044223723,393.87244760947,2890.12098804926,"08"
2020,"Chorotega","5","Guanacaste",509,"Nandayure",35371.2802615994,1024.60636967511,36395.8866312745,2775.46536643207,343.552638025482,"09"
2020,"Chorotega","5","Guanacaste",510,"La Cruz",63510.8930435231,3822.80968203884,67333.702725562,25963.9217332207,2375.9852326114,"10"
2020,"Chorotega","5","Guanacaste",511,"Hojancha",18933.3770187779,776.457838544805,19709.8348573227,174.754373689255,3.01662710710848,"11"
2020,"Pacífico Central","6","Puntarenas",601,"Puntarenas",610278.131618727,41445.6774267373,651723.809045464,139731.805067474,256129.943422272,"01"
2020,"Pacífico Central","6","Puntarenas",602,"Esparza",123480.162912645,11718.8888755627,135199.051788207,47840.5622521586,79469.7871023967,"02"
2020,"Brunca","6","Puntarenas",603,"Buenos Aires",133142.142895811,4394.81443060446,137536.957326415,205.351658393762,679.010588707075,"03"
